File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/164.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Auto 2
Injection Number	27
Position	3
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:00:30 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000530
Time Max. (min)	8.022197
Data Points	9627
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.471615
Signal Max.	65,140.120443
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.406364	0.05	-3.442448
0.407197	0.05	-3.447786
0.408030	0.05	-3.449089
0.408864	0.05	-3.446484
0.409697	0.05	-3.447396
0.410530	0.05	-3.446094
0.411364	0.05	-3.445573
0.412197	0.05	-3.439974
0.413030	0.05	-3.436589
0.413864	0.05	-3.435807
0.414697	0.05	-3.440104
0.415530	0.05	-3.440234
0.416364	0.05	-3.441797
0.417197	0.05	-3.441667
0.418030	0.05	-3.443359
0.418864	0.05	-3.442188
0.419697	0.05	-3.440885
0.420530	0.05	-3.440365
0.421364	0.05	-3.440104
0.422197	0.05	-3.437109
0.423030	0.05	-3.435677
0.423864	0.05	-3.434505
0.424697	0.05	-3.438281
0.425530	0.05	-3.443099
0.426364	0.05	-3.446224
0.427197	0.05	-3.444010
0.428030	0.05	-3.442188
0.428864	0.05	-3.439714
0.429697	0.05	-3.440625
0.430530	0.05	-3.439583
0.431364	0.05	-3.437500
0.432197	0.05	-3.434245
0.433030	0.05	-3.436328
0.433864	0.05	-3.441146
0.434697	0.05	-3.444531
0.435530	0.05	-3.443229
0.436364	0.05	-3.440234
0.437197	0.05	-3.442448
0.438030	0.05	-3.445573
0.438864	0.05	-3.449740
0.439697	0.05	-3.445964
0.440530	0.05	-3.442318
0.441364	0.05	-3.440885
0.442197	0.05	-3.445964
0.443030	0.05	-3.448177
0.443864	0.05	-3.451432
0.444697	0.05	-3.447266
0.445530	0.05	-3.448307
0.446364	0.05	-3.448307
0.447197	0.05	-3.451302
0.448030	0.05	-3.450911
0.448864	0.05	-3.447005
0.449697	0.05	-3.443620
0.450530	0.05	-3.440495
0.451364	0.05	-3.438802
0.452197	0.05	-3.441016
0.453030	0.05	-3.443880
